company name,rating,reviews,salaries,interviews,job,benifits,photo
TCS,3.8,75k,8.6L,7.6k,1.1k,11.6k,77
Accenture,4.0,46.8k,5.9L,5.4k,40.4k,7.2k,38
Cognizant,3.9,42k,5.7L,4.3k,591,5.9k,61
Wipro,3.8,40.4k,4.3L,4.3k,233,5.1k,79
Capgemini,3.8,34.6k,4.3L,3.5k,616,4.1k,37
HDFC Bank,4.0,33.8k,1.3L,1.8k,184,3.3k,7
ICICI Bank,4.0,33.4k,1.4L,2.1k,39,3.8k,46
Infosys,3.8,32.6k,4.6L,5.7k,1.1k,5.2k,89
HCLTech,3.7,29.3k,3L,2.9k,201,4.1k,34
Tech Mahindra,3.7,27.8k,2.5L,2.8k,628,3.6k,44
Genpact,3.9,26.3k,1.9L,2.3k,538,3.7k,38
Axis Bank,3.9,22k,96.2k,1.2k,220,2.2k,66
Teleperformance,3.8,22.9k,85.3k,1.4k,253,2.1k,25
Concentrix Corporation,3.9,21.7k,1.1L,1.3k,84,3.3k,42
Jio,4.0,20.3k,65.6k,1.3k,192,2.6k,43
Amazon,4.1,21.1k,1.2L,3.9k,140,4.3k,73
IBM,4.1,19.4k,2.2L,1.8k,1.9k,2.8k,18
Reliance Retail,4.0,19.2k,60k,1.3k,165,2k,88
HDB Financial Services,4.0,17.7k,49.5k,654,132,1.5k,29
Larsen & Toubro Limited,4.1,16.1k,77.8k,1.2k,106,2.9k,38
Vodafone Idea,4.2,14.2k,57k,475,17,2.1k,11
BYJU'S,3.1,15.2k,60k,2k,508,1.9k,26
Kotak Mahindra Bank,3.9,14.2k,78.3k,830,27,1.3k,22
Deloitte,3.9,14.3k,1.8L,2k,284,2.6k,21
Reliance Industries,4.1,13.5k,65.9k,1k,21,2k,31
iEnergizer,4.7,15.7k,18.9k,362,132,537,19
Bharti Airtel,4.1,11.9k,43.8k,652,175,1.6k,78
Tata Motors,4.2,10.2k,39.7k,796,93,1.8k,20
WNS,3.5,9.6k,54.5k,813,118,1.4k,11
Flipkart,4.0,9.4k,46.2k,1.1k,196,1.5k,89
IndusInd Bank,3.7,9.1k,47k,460,193,817,6
Ernst & Young,3.6,9.1k,1.3L,899,275,1.3k,4
AU Small Finance Bank,4.4,8.8k,18.8k,343,71,490,10
Mahindra & Mahindra,4.2,8.4k,36.5k,541,24,1.3k,8
Infosys BPM,3.8,8.3k,60.4k,776,179,1.2k,12
DXC Technology,3.8,8.3k,79.8k,657,103,1.2k,4
IDFC FIRST Bank,4.0,8.5k,41k,499,113,734,30
Conneqt Business Solutions,3.7,7.9k,26.1k,380,456,810,17
LTIMindtree,3.6,8.2k,99.1k,1.2k,350,860,23
HDFC Life,4.1,7.7k,29.9k,483,99,647,35
Bajaj Finserv,4.1,7.7k,25.5k,391,21,757,3
Mphasis,3.5,7k,65.5k,592,179,899,15
PwC,3.6,7.2k,84.8k,964,1.3k,876,22
HSBC Group,4.1,6.7k,59.8k,421,28,1.2k,4
Startek,3.3,6.6k,22.6k,370,59,724,6
Hinduja Global Solutions,4.0,6.4k,24.5k,201,40,1k,31
Samsung,4.1,6.3k,27.3k,449,24,572,12
Ericsson,4.3,6.3k,43.6k,326,384,1.1k,16
Maruti Suzuki,4.2,6.5k,25.5k,495,5,1.1k,15
Shriram Finance,4.1,6.3k,13.4k,256,9,50,21
Asian Paints,4.1,6.3k,22.2k,531,17,913,26
Yes Bank,3.9,6.3k,40.5k,329,20,633,9
Cipla,4.1,6.1k,23.7k,406,63,907,17
Dr. Reddy's,4.2,5.9k,23.7k,313,98,884,21
Sutherland Global Services,3.7,5.8k,28.1k,440,228,960,23
Paytm,3.5,6.1k,31.5k,553,136,591,19
Bandhan Bank,3.8,6.1k,20.7k,426,23,537,10
UltraTech Cement,4.2,5.8k,21.5k,439,7,654,28
EXL Service,3.8,6k,38k,553,59,863,13
NTT DATA,4.0,5.8k,51.5k,493,110,779,16
ICICI Prudential Life Insurance,4.1,5.5k,21.5k,314,126,636,7
Bajaj Finance,4.1,5.7k,19.4k,251,8,528,4
Jana Small Finance Bank,3.9,5.4k,14.8k,199,42,632,7
Lupin,4.1,5.4k,22.2k,278,--,824,7
Indian Army,4.7,4.8k,9.8k,126,--,763,2
HCL Group,3.8,5.1k,66k,349,--,704,--
Quess,4.0,5.6k,25k,320,129,464,12
Tata Steel,4.2,6k,28.2k,635,44,705,19
L&T Infotech,3.8,5.2k,72.8k,447,2,902,5
Wells Fargo,4.0,5.3k,48.4k,413,3,906,10
Zydus Lifesciences,4.2,5.3k,18.1k,252,140,701,20
Delhivery,4.0,5.2k,17k,349,114,675,37
Amazon Development Centre India,4.2,5.4k,29.3k,495,5,56,8
L&T Construction,4.1,5.1k,14.6k,553,--,829,15
JPMorgan Chase & Co.,4.1,5.1k,72.8k,530,179,915,14
Sun Pharmaceutical Industries,4.1,4.8k,20.6k,299,119,646,9
Hindustan Unilever,4.3,4.8k,20.9k,297,114,698,1
FIS,3.9,4.9k,39.3k,366,103,789,16
ITC,4.0,4.8k,23.1k,450,43,735,7
Udaan,4.0,4.8k,19.1k,309,33,789,8
Hexaware Technologies,3.7,4.8k,46.1k,511,576,591,25
IIFL Finance,4.0,4.7k,15.7k,216,43,443,11
JSW Steel,4.0,4.8k,24.9k,453,68,633,19
Ujjivan Small Finance Bank,4.1,4.6k,11.8k,179,12,598,8
Muthoot Finance,3.6,4.4k,11.9k,206,141,340,6
Max Life Insurance,4.2,4.5k,17.5k,241,562,518,2
Tata Projects,4.3,4.3k,19.4k,325,18,568,19
Aurobindo Pharma,4.0,4.2k,21.6k,204,21,502,7
KPMG India,3.6,4.5k,64.7k,601,70,791,5
Shapoorji Pallonji Group,4.2,4.1k,15.3k,281,31,663,10
Oracle,3.8,4.4k,57.9k,662,208,655,26
Home Credit Finance,4.1,4.1k,10.4k,103,88,645,3
eClerx,3.5,4.3k,27.4k,383,93,601,17
Apollo Hospitals,4.2,4k,15k,259,117,529,--
Ashok Leyland,4.1,4k,18.1k,186,1,691,8
Omega Healthcare,3.8,4.2k,21k,304,48,418,7
Siemens,4.2,4k,30.1k,313,1.5k,671,9
JLL,4.2,4.1k,20.1k,251,49,577,6
Megha Engineering & Infrastructures,4.0,4.2k,15.1k,350,22,565,9
